Reference, Value, Footprint, Datasheet
U101,LM27313-SOT23,General_SMD:SOT23-5,926-LM27313XMF/NOPB
U103,REG113-XX-SOT23,General_SMD:SOT23-5,595-REG113NA-3.3/3K 
R101,51k,General_SMD:SM0603,71-CRCW0603J-51K-E3 
C101,CSMALL,General_SMD:SM0603,77-VJ0603V105MXQCBC
L101,IND_SMALL,General_SMD:SM1210,963-CBC3225T100MR 
D101,SCHOTTKY,General_SMD:SOD-123,512-MBR0530 
R103,RES_0603,General_SMD:SM0603,71-CRCW0603-205K-E3 
R102,RES_0603,General_SMD:SM0603,71-CRCW0603-13.3K-E3
C102,CSMALL,General_SMD:SM0603,77-VJ0603Y121MXQCBC 
C103,CSMALL,General_SMD:SM0603,963-UMK107BJ105KA-T 
Q101,NPN,General_SMD:SOT23,512-MMBT3904
Q102,NPN,General_SMD:SOT23,512-MMBT3904
R104,330k,General_SMD:SM0603,71-CRCW0603-330K-E3
C104,1u,General_SMD:SM0603,963-UMK107BJ105KA-T 
C105,CSMALL,General_SMD:SM0603,963-UMK107BJ105KA-T 
J102,USB_A,Connectors_USB:USB_A_KEY_CUSTOM,################################
U104,TPD4E1U06-SC70,General_SMD:sc70-6,595-TPD4E1U06DCKR 
R109,RES_0603,General_SMD:SM0603,71-CRCW0603-22-E3 
R110,RES_0603,General_SMD:SM0603,71-CRCW0603-22-E3 
R108,RES_0603,General_SMD:SM0603,################################
C106,0.1u,General_SMD:SM0603,77-VJ0603Y104JXJPBC 
C107,0.01u,General_SMD:SM0603,77-VJ0603Y103KXAAC 
C108,0.1u,General_SMD:SM0603,77-VJ0603Y104JXJPBC 
J101,TC2030-JTAG,Tag-Connect:TC2030-NL,################################
C109,CSMALL,General_SMD:SM0805,581-0805YD106K 
R107,330k,General_SMD:SM0603,71-CRCW0603-330K-E3
R115,10k,General_SMD:SM0603,71-CRCW0603-10K-E3 
R116,10k,General_SMD:SM0603,71-CRCW0603-10K-E3 
R111,RES_0603,General_SMD:SM0603,
R113,RES_0603,General_SMD:SM0603,
R112,RES_0603,General_SMD:SM0603,
U105,TL972,SSOP:SSOP8,595-TL972QPWRQ1 
C110,10n,General_SMD:SM0603,77-VJ0603Y103KXAAC 
X101,SMD_XTAL,Xtal_SMD:xtal_3.2x2.5,################################
C112,10p,General_SMD:SM0603,77-VJ0603A100JXACBC 
C111,10p,General_SMD:SM0603,77-VJ0603A100JXACBC 
U102,STM32F103TB-QFN36,QFN:QFN36_6x6_0.5mm,################################
R105,RES_0603,General_SMD:SM0603,71-CRCW0603J-160-E3 
D102,LED,General_SMD:LED-0603,78-VLMS1300-GS08 
C113,100n,General_SMD:SM0603,77-VJ0603Y104JXJPBC 
C114,10n,General_SMD:SM0603,77-VJ0603Y103KXAAC 
SW101,SW_PUSH_SMALL,Switch_SMD:ALPS_SKRKAEE010,688-SKRKAE 
